"","cases_with_vaccination","cases_without_vaccination","without_vaccination_qol_loss","with_vaccination_qol_loss","deaths_without_vaccination","survivors_without_vaccination","deaths_with_vaccination","survivors_with_vaccination","life_years_lost_death_with_vaccination","life_years_lost_death_without_vaccination","number_vaccinated","severity_counts_without_vaccination_low","severity_counts_without_vaccination_medium","severity_counts_without_vaccination_high","severity_counts_with_vaccination_low","severity_counts_with_vaccination_medium","severity_counts_with_vaccination_high","doses_number","total_QALY_loss_no_vaccination","cases_averted","cases_averted_per_dose","deaths_averted","deaths_averted_per_dose","qol_gained","qol_gained_per_dose","total_QALY_gained","total_QALY_gained_per_dose"
"50",70740,146260,1744.24808874538,257.674073564949,6496,139764,2500,68240,12594,32718,102382,68981,74431,2848,64048,5706,986,102382,34462.2480887454,75520,0.737629661463929,3996,0.0390302982946221,1486.57401518043,0.0145198766890706,21610.5740151804,0.211077865398023
"51",70758,146260,1744.08994416331,256.930984993418,6595,139665,2597,68161,13208.5,32681.5,102382,68984,74427,2849,64156,5623,979,102382,34425.5899441633,75502,0.737453849309449,3998,0.0390498329784532,1487.15895916989,0.0145255900370171,20960.1589591699,0.204725039158933
"52",70671,146260,1748.60150290787,258.677328013807,6546,139714,2506,68165,12498,32618,102382,69021,74389,2850,64059,5562,1050,102382,34366.6015029079,75589,0.738303608056104,4040,0.0394600613389072,1489.92417489407,0.0145525988444655,21609.9241748941,0.211071518185756
"53",70646,146260,1745.79567174624,259.567195506261,6584,139676,2465,68181,12417.5,33085,102382,69021,74417,2822,63936,5699,1011,102382,34830.7956717462,75614,0.738547791603993,4119,0.0402316813502374,1486.22847623998,0.0145165016920941,22153.72847624,0.21638304073216
"54",70449,146260,1741.60294252674,256.232034509726,6555,139705,2469,67980,12617.5,32748.5,102382,69301,74045,2914,63890,5546,1013,102382,34490.1029425267,75811,0.74047195796136,4086,0.0399093590670235,1485.37090801701,0.0145081255300445,21616.370908017,0.211134485632406
"55",70619,146260,1746.27868034823,257.450526432916,6521,139739,2494,68125,12410,32708.5,102382,69072,74278,2910,64096,5510,1013,102382,34454.7786803482,75641,0.738811509835713,4027,0.0393330858940048,1488.82815391531,0.0145418936328193,21787.3281539153,0.212804283506039
"56",70383,146260,1745.04359688961,252.624093571134,6424,139836,2573,67810,12978.5,32310,102382,69060,74271,2929,63930,5496,957,102382,34055.0435968896,75877,0.741116602527788,3851,0.0376140337168643,1492.41950331848,0.0145769715703784,20823.9195033185,0.203394341811241
"57",70554,146260,1742.95192068891,254.269145264126,6451,139809,2465,68089,12193.5,32468.5,102382,69238,74110,2912,64042,5525,987,102382,34211.4519206889,75706,0.739446387060226,3986,0.0389326248754664,1488.68277542479,0.0145404736713953,21763.6827754248,0.212573331009599
"58",70632,146260,1735.79590939683,252.768888438371,6573,139687,2479,68153,12280.5,33341.5,102382,69453,74013,2794,64206,5457,969,102382,35077.2959093968,75628,0.738684534390811,4094,0.0399874978023481,1483.02702095846,0.0144852319837321,22544.0270209585,0.220195220067575
"59",70672,146260,1744.95948995107,256.637896711027,6729,139531,2511,68161,12531.5,34095.5,102382,69179,74198,2883,64085,5572,1015,102382,35840.4594899511,75588,0.738293840714188,4218,0.0411986481998789,1488.32159324005,0.0145369458815031,23052.32159324,0.225159906948878
"60",70268,146260,1731.5658560001,253.533831571189,6557,139703,2506,67762,12531,33072.5,102382,69571,73867,2822,63808,5486,974,102382,34804.0658560001,75992,0.742239846848079,4051,0.0395675020999785,1478.03202442891,0.0144364441447609,22019.5320244289,0.215072298103465
"61",70504,146260,1743.30582937333,256.736369255806,6480,139780,2441,68063,12020.5,32355,102382,69054,74362,2844,63939,5535,1030,102382,34098.3058293733,75756,0.739934754156004,4039,0.0394502939969917,1486.56946011752,0.0145198321982137,21821.0694601175,0.213133846380394
"62",70482,146260,1743.74783628526,256.547523072572,6547,139713,2514,67968,12387,32784.5,102382,69066,74320,2874,63880,5614,988,102382,34528.2478362853,75778,0.740149635678147,4033,0.0393916899454982,1487.20031321269,0.0145259939560927,21884.7003132127,0.213755350678954
"63",70441,146260,1741.40360608387,254.113732375945,6528,139732,2399,68042,12009.5,32827,102382,69152,74161,2947,63876,5597,968,102382,34568.4036060839,75819,0.740550096696685,4129,0.0403293547693931,1487.28987370792,0.0145268687240718,22304.7898737079,0.217858509051473
"64",70588,146260,1742.08077565625,256.451999375299,6606,139654,2461,68127,12439.5,33304,102382,69326,74030,2904,64031,5531,1026,102382,35046.0807756563,75672,0.739114297435096,4145,0.0404856322400422,1485.62877628095,0.0145106442175476,22350.128776281,0.218301349614981
"65",70449,146260,1742.12137622712,256.993487370719,6675,139585,2409,68040,12119.5,33576.5,102382,69447,73915,2898,63833,5584,1032,102382,35318.6213762271,75811,0.74047195796136,4266,0.0416674806118263,1485.12788885641,0.0145057518788108,22942.1278888564,0.22408360736122
"66",70595,146260,1744.79950643675,258.097886602547,6565,139695,2481,68114,12265.5,32941.5,102382,69070,74339,2851,63969,5591,1035,102382,34686.2995064367,75665,0.739045926041687,4084,0.0398898243831924,1486.7016198342,0.014521123047354,22162.7016198342,0.216470684493702
"67",70873,146260,1743.0622051615,260.154383417977,6625,139635,2519,68354,12611.5,33211.5,102382,68996,74424,2840,64191,5649,1033,102382,34954.5622051615,75387,0.736330604989158,4106,0.0401047059053349,1482.90782174352,0.0144840677242437,22082.9078217435,0.215691311185008
"68",70459,146260,1750.16220741304,253.489183740248,6604,139656,2485,67974,12668.5,33016,102382,68955,74409,2896,63981,5503,975,102382,34766.162207413,75801,0.740374284542205,4119,0.0402316813502374,1496.67302367279,0.0146185171580238,21844.1730236728,0.213359506785107
"69",70415,146260,1751.38133025125,251.986472673066,6581,139679,2432,67983,12268,33324.5,102382,69077,74232,2951,64012,5423,980,102382,35075.8813302513,75845,0.74080404758649,4149,0.0405247016077045,1499.39485757819,0.0146451022404152,22555.8948575782,0.220311137285638
